Time,flowKey,Speed
1686635001.2182376,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686635001.2235718,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686635001.2343767,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686635001.2427614,"(4, 1, '00:00:00:00:00:03', 4294967291)",313.5561538416565
1686635001.248369,"(4, 1, '00:00:00:00:00:03', 4294967291)",0.0
1686635001.25584,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686635001.2600634,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686635001.267758,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686635001.275219,"(4, 2, '00:00:00:00:00:03', 4294967291)",173.41165530751096
1686635001.2818568,"(4, 2, '00:00:00:00:00:03', 4294967291)",0.0
1686635001.2973218,"(1, 2, '00:00:00:00:00:01', 4294967291)",1.2421669178927386
1686635001.3050358,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.08089153750579509
1686635001.3096898,"(1, 2, '00:00:00:00:00:03', 4294967291)",0.0
1686635001.3197212,"(1, 2, '00:00:00:00:00:03', 4294967291)",0.0
1686635001.3294363,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686635001.3366961,"(1, 3, '00:00:00:00:00:03', 4294967291)",0.0
1686635001.3389735,"(1, 3, '00:00:00:00:00:03', 4294967291)",0.0
1686635001.5444734,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686635001.551334,"(2, 1, '00:00:00:00:00:03', 2)",57.65244332155318
1686635001.5600579,"(2, 2, '00:00:00:00:00:01', 2)",16.558341372660237
1686635001.5644069,"(2, 2, '00:00:00:00:00:01', 2)",3.3442222123787073
1686635001.5716085,"(2, 2, '00:00:00:00:00:03', 2)",0.0
1686635001.5759435,"(2, 2, '00:00:00:00:00:03', 2)",0.0
1686635001.594387,"(3, 1, '00:00:00:00:00:01', 2)",1.036532948910891
1686635001.6009495,"(3, 1, '00:00:00:00:00:03', 2)",173.99523060869566
1686635001.6084526,"(3, 2, '00:00:00:00:00:01', 2)",6.275901502741051
1686635001.6155033,"(3, 2, '00:00:00:00:00:01', 2)",2.0627585086396376
1686635001.6226437,"(3, 2, '00:00:00:00:00:01', 2)",0.0
1686635001.630753,"(3, 2, '00:00:00:00:00:03', 2)",0.0
1686635001.6349156,"(3, 2, '00:00:00:00:00:03', 2)",0.0
1686635004.403928,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.21803113095634788
1686635004.407988,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.15369344623876915
1686635004.4137447,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686635004.4198668,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686635004.4281464,"(1, 2, '00:00:00:00:00:03', 4294967291)",0.0
1686635004.4331973,"(1, 2, '00:00:00:00:00:03', 4294967291)",0.0
1686635004.4391308,"(1, 2, '00:00:00:00:00:03', 4294967291)",0.0
1686635004.446768,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686635004.452498,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686635004.4591155,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686635004.464256,"(1, 3, '00:00:00:00:00:03', 4294967291)",0.0
1686635004.4706144,"(1, 3, '00:00:00:00:00:03', 4294967291)",0.0
1686635004.7247596,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686635004.7321868,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686635004.7399726,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686635004.748627,"(2, 1, '00:00:00:00:00:03', 2)",165.06306091290529
1686635004.7531545,"(2, 1, '00:00:00:00:00:03', 2)",0.0
1686635004.7597904,"(2, 2, '00:00:00:00:00:01', 2)",36.33176154031972
1686635004.766527,"(2, 2, '00:00:00:00:00:01', 2)",3.7123041738453373
1686635004.7724183,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686635004.7803535,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686635004.7864556,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686635004.7936466,"(2, 2, '00:00:00:00:00:03', 2)",0.0
1686635004.798623,"(2, 2, '00:00:00:00:00:03', 2)",0.0
