Time,flowKey,Speed
1686560221.3535454,"(4, 1, '00:00:00:00:00:02', 4294967291)",3.9278059077247565
1686560221.3629541,"(4, 1, '00:00:00:00:00:02', 4294967291)",0.0
1686560221.3726134,"(4, 2, '00:00:00:00:00:02', 4294967291)",4.004883819354839
1686560221.382179,"(4, 2, '00:00:00:00:00:02', 4294967291)",0.0
1686560221.479103,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686560221.4920857,"(2, 1, '00:00:00:00:00:02', 2)",0.33368443951744375
1686560221.496172,"(2, 2, '00:00:00:00:00:01', 2)",0.7507403612551159
1686560221.5096557,"(2, 2, '00:00:00:00:00:02', 2)",0.0
1686560221.5336025,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686560221.5458791,"(1, 2, '00:00:00:00:00:02', 4294967291)",0.0
1686560221.5544548,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686560221.5638008,"(1, 3, '00:00:00:00:00:02', 4294967291)",0.0
1686560221.579773,"(3, 1, '00:00:00:00:00:01', 2)",0.30711636892748184
1686560221.5905938,"(3, 1, '00:00:00:00:00:02', 2)",3.5018312266894784
1686560221.5975988,"(3, 2, '00:00:00:00:00:01', 2)",0.3261573522996681
1686560221.6076596,"(3, 2, '00:00:00:00:00:02', 2)",0.0
1686560221.6133392,"(3, 2, '00:00:00:00:00:02', 2)",0.0
1686560224.8180056,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.7397528818541549
1686560224.8310254,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686560224.8378866,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686560224.8471043,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686560224.8545418,"(4, 1, '00:00:00:00:00:02', 4294967291)",5.354040515846995
1686560224.8628473,"(4, 1, '00:00:00:00:00:02', 4294967291)",0.07513048846021357
1686560224.8705046,"(4, 1, '00:00:00:00:00:02', 4294967291)",0.08149097661674502
1686560224.8811042,"(4, 2, '00:00:00:00:00:01', 4294967291)",1.1071259289340103
1686560224.8862634,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686560224.8916178,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.2330791429334758
1686560224.9003818,"(4, 2, '00:00:00:00:00:02', 4294967291)",1.8361870584707647
1686560224.9085631,"(4, 2, '00:00:00:00:00:02', 4294967291)",0.07627118449657584
1686560224.916321,"(4, 2, '00:00:00:00:00:02', 4294967291)",0.08043411586096684
1686560225.3235946,"(3, 1, '00:00:00:00:00:01', 2)",0.8569894223968566
1686560225.333634,"(3, 1, '00:00:00:00:00:01', 2)",0.06215554516956398
1686560225.3400023,"(3, 1, '00:00:00:00:00:01', 2)",0.0
1686560225.3498027,"(3, 1, '00:00:00:00:00:02', 2)",3.752164108729282
1686560225.3578813,"(3, 1, '00:00:00:00:00:02', 2)",0.0
1686560225.368068,"(3, 2, '00:00:00:00:00:01', 2)",5.32165449081803
1686560225.3775187,"(3, 2, '00:00:00:00:00:01', 2)",0.5485323024294255
1686560225.3857014,"(3, 2, '00:00:00:00:00:01', 2)",0.0
1686560225.3928173,"(3, 2, '00:00:00:00:00:01', 2)",0.0
1686560225.402042,"(3, 2, '00:00:00:00:00:02', 2)",0.0
1686560225.4084196,"(3, 2, '00:00:00:00:00:02', 2)",0.0
1686560225.4152238,"(3, 2, '00:00:00:00:00:02', 2)",0.0
1686560225.8315,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686560225.8413117,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686560225.8485143,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686560225.8549714,"(1, 2, '00:00:00:00:00:02', 4294967291)",0.0
1686560225.8618305,"(1, 2, '00:00:00:00:00:02', 4294967291)",0.0
1686560225.8735478,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686560225.8852592,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686560225.8925085,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686560225.9014661,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686560225.9079266,"(1, 3, '00:00:00:00:00:02', 4294967291)",0.0
