Time,flowKey,Speed
1686561110.033477,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561110.039537,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561110.0462942,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561110.051522,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561110.0604916,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561110.0752695,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561110.0818312,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561110.0896382,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561110.097597,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561110.1034377,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561110.1135805,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561110.1189206,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561110.1262858,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561110.1342525,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561110.3428183,"(3, 2, '00:00:00:00:00:01', 2)",6.176427830182833
1686561110.3503425,"(3, 2, '00:00:00:00:00:01', 2)",0.0
1686561110.3577719,"(3, 2, '00:00:00:00:00:01', 2)",0.0
1686561110.3655849,"(3, 2, '00:00:00:00:00:01', 2)",0.0
1686561110.374159,"(3, 2, '00:00:00:00:00:01', 2)",0.0
1686561113.5771947,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561113.5964994,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561113.608001,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561113.6175327,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561113.6256816,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561113.633712,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561113.641998,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561113.6499462,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561113.65765,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561113.6617255,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561113.943792,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686561113.9540117,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686561113.9601147,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686561113.9655411,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686561113.974203,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686561113.9821632,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561113.989504,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561113.9946058,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561114.0031214,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561114.0105076,"(2, 2, '00:00:00:00:00:01', 2)",3.8601677097482248
1686561114.1502144,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.1570063,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.162006,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.1674535,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.1743057,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.1804488,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.1899254,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.193438,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.200777,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.2077959,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.213731,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.2192192,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.22741,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.2323253,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.237581,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.2456172,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.2537081,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.263199,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.2729213,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.2788818,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.2909284,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.2961195,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.2995317,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.3053133,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561114.359098,"(3, 1, '00:00:00:00:00:01', 2)",0.0
1686561114.36596,"(3, 1, '00:00:00:00:00:01', 2)",0.0
1686561114.3702316,"(3, 1, '00:00:00:00:00:01', 2)",0.0
1686561114.3733628,"(3, 1, '00:00:00:00:00:01', 2)",0.0
1686561114.378232,"(3, 1, '00:00:00:00:00:01', 2)",0.0
1686561114.38344,"(3, 2, '00:00:00:00:00:01', 2)",3.589290943273906
1686561114.38694,"(3, 2, '00:00:00:00:00:01', 2)",0.0
1686561114.392267,"(3, 2, '00:00:00:00:00:01', 2)",0.0
1686561114.3953428,"(3, 2, '00:00:00:00:00:01', 2)",0.0
1686561114.3990977,"(3, 2, '00:00:00:00:00:01', 2)",7.593370731348022
1686561116.8560925,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561116.8698997,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561116.8773534,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561116.885323,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561116.891207,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561116.8999588,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561116.9061325,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561116.9147213,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561116.9216821,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561116.927921,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561116.935649,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561116.9423847,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686561116.9529107,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561116.9591024,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561116.9654095,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561116.9739375,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561116.9826083,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561116.9916236,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561116.9929605,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561117.0018444,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561117.0096793,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561117.0175276,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561117.023762,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561117.0282,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561117.0667293,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561117.0696836,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561117.0752656,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561117.0810575,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561117.0868173,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561117.0947354,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561117.103809,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561117.1090772,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561117.1139796,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561117.1220078,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561117.1280692,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561117.1354449,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561117.1455355,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561117.7646785,"(3, 1, '00:00:00:00:00:01', 2)",0.0
1686561117.771631,"(3, 1, '00:00:00:00:00:01', 2)",0.0
1686561117.7811322,"(3, 1, '00:00:00:00:00:01', 2)",0.0
1686561117.7875955,"(3, 1, '00:00:00:00:00:01', 2)",0.0
1686561117.7940524,"(3, 1, '00:00:00:00:00:01', 2)",0.0
1686561117.8031986,"(3, 2, '00:00:00:00:00:01', 2)",5.26448299207607
1686561117.8118165,"(3, 2, '00:00:00:00:00:01', 2)",0.0
1686561117.8192213,"(3, 2, '00:00:00:00:00:01', 2)",0.0
1686561117.826059,"(3, 2, '00:00:00:00:00:01', 2)",0.0
1686561117.8376377,"(3, 2, '00:00:00:00:00:01', 2)",2.4624824077094147
1686561117.8434014,"(3, 2, '00:00:00:00:00:01', 2)",5.771223505935884
1686561117.8497126,"(3, 2, '00:00:00:00:00:01', 2)",0.0
1686561117.8529747,"(3, 2, '00:00:00:00:00:01', 2)",0.0
1686561117.8584328,"(3, 2, '00:00:00:00:00:01', 2)",0.0
1686561117.8657882,"(3, 2, '00:00:00:00:00:01', 2)",0.0
1686561117.8701537,"(3, 2, '00:00:00:00:00:01', 2)",0.0
1686561117.8715646,"(3, 2, '00:00:00:00:00:01', 2)",0.0
1686561118.2517805,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686561118.258962,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686561118.2662172,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686561118.2737134,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686561118.283035,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686561118.2870617,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561118.2939205,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561118.3009813,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561118.309946,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561118.3154168,"(2, 2, '00:00:00:00:00:01', 2)",5.211714270373922
1686561118.3238742,"(2, 2, '00:00:00:00:00:01', 2)",3.9331133046542437
1686561118.3323023,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561118.3383117,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561118.3485622,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561118.3535087,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561118.3596423,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561118.3650181,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561120.2565236,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.2666552,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.2702558,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.2773306,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.2842648,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.291215,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.2979307,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.3080642,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.3150098,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.321714,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.3302653,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.3337753,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.3449314,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.350901,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.3575656,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.3662953,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.3712301,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.3802335,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.3856916,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.3943067,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.399259,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.4078317,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.4149618,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.4212728,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686561120.596481,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686561120.6028116,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686561120.6078305,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686561120.6145027,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686561120.6268165,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686561120.6284597,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686561120.6309605,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686561120.6389728,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686561120.6469228,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561120.6535623,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561120.6626792,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561120.6676743,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561120.6761441,"(2, 2, '00:00:00:00:00:01', 2)",3.366305296213934
1686561120.6832883,"(2, 2, '00:00:00:00:00:01', 2)",4.656076364291674
1686561120.69271,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561120.697476,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561120.7052174,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561120.7137055,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686561120.720167,"(2, 2, '00:00:00:00:00:01', 2)",0.0
