Time,flowKey,Speed
1686562178.618014,"(2, 2, '00:00:00:00:00:01', 2)",0.5752188342857143
1686562178.6296904,"(2, 2, '00:00:00:00:00:02', 2)",0.0
1686562178.670621,"(3, 2, '00:00:00:00:00:01', 2)",0.2364268921409214
1686562178.6809285,"(3, 2, '00:00:00:00:00:02', 2)",0.0
1686562178.6960797,"(4, 1, '00:00:00:00:00:02', 4294967291)",1.2723605717063686
1686562178.706254,"(4, 2, '00:00:00:00:00:02', 4294967291)",0.6486358602230484
1686562178.7767816,"(1, 2, '00:00:00:00:00:02', 4294967291)",0.0
1686562178.7839642,"(1, 3, '00:00:00:00:00:02', 4294967291)",0.0
1686562182.0950215,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686562182.103165,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686562182.1107943,"(4, 1, '00:00:00:00:00:01', 4294967291)",0.0
1686562182.1199143,"(4, 1, '00:00:00:00:00:02', 4294967291)",1.4566061603441534
1686562182.1282182,"(4, 1, '00:00:00:00:00:02', 4294967291)",0.07514558833156278
1686562182.1387212,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686562182.145362,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686562182.1573467,"(4, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686562182.1669528,"(4, 2, '00:00:00:00:00:02', 4294967291)",1.7424757670175437
1686562182.1744227,"(4, 2, '00:00:00:00:00:02', 4294967291)",0.0
1686562182.2167501,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686562182.2230196,"(1, 2, '00:00:00:00:00:01', 4294967291)",0.0
1686562182.227408,"(1, 2, '00:00:00:00:00:02', 4294967291)",0.0
1686562182.2308269,"(1, 2, '00:00:00:00:00:02', 4294967291)",0.0
1686562182.2456632,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686562182.2513068,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686562182.256718,"(1, 3, '00:00:00:00:00:01', 4294967291)",0.0
1686562182.2626266,"(1, 3, '00:00:00:00:00:02', 4294967291)",0.0
1686562182.2685597,"(1, 3, '00:00:00:00:00:02', 4294967291)",0.0
1686562182.3795738,"(3, 1, '00:00:00:00:00:01', 2)",0.0
1686562182.3855236,"(3, 1, '00:00:00:00:00:02', 2)",4.092232825734266
1686562182.396048,"(3, 2, '00:00:00:00:00:01', 2)",5.959361063867017
1686562182.4009361,"(3, 2, '00:00:00:00:00:01', 2)",0.7921346740805776
1686562182.4111671,"(3, 2, '00:00:00:00:00:01', 2)",0.0
1686562182.4184484,"(3, 2, '00:00:00:00:00:02', 2)",0.0
1686562182.4250314,"(3, 2, '00:00:00:00:00:02', 2)",0.0
1686562182.503276,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686562182.515168,"(2, 1, '00:00:00:00:00:02', 2)",4.012543157432803
1686562182.5217748,"(2, 1, '00:00:00:00:00:02', 2)",0.0
1686562182.5308073,"(2, 2, '00:00:00:00:00:01', 2)",4.516942769230769
1686562182.5356333,"(2, 2, '00:00:00:00:00:01', 2)",0.8023093117280902
1686562182.5438104,"(2, 2, '00:00:00:00:00:01', 2)",0.0
1686562182.552968,"(2, 2, '00:00:00:00:00:02', 2)",0.0
1686562182.5579147,"(2, 2, '00:00:00:00:00:02', 2)",0.0
1686562185.2817957,"(3, 1, '00:00:00:00:00:01', 2)",0.0
1686562185.2924263,"(3, 1, '00:00:00:00:00:01', 2)",0.0
1686562185.2982018,"(3, 1, '00:00:00:00:00:01', 2)",0.0
1686562185.3042297,"(3, 1, '00:00:00:00:00:02', 2)",5.587555025151778
1686562185.3131332,"(3, 1, '00:00:00:00:00:02', 2)",0.0
1686562185.3225415,"(3, 2, '00:00:00:00:00:01', 2)",6.55210831506439
1686562185.3304229,"(3, 2, '00:00:00:00:00:01', 2)",0.7409848249992437
1686562185.3383334,"(3, 2, '00:00:00:00:00:01', 2)",0.0
1686562185.3449202,"(3, 2, '00:00:00:00:00:01', 2)",0.0
1686562185.3536768,"(3, 2, '00:00:00:00:00:01', 2)",0.0
1686562185.3614674,"(3, 2, '00:00:00:00:00:02', 2)",0.0
1686562185.3700287,"(3, 2, '00:00:00:00:00:02', 2)",0.0
1686562185.3782358,"(3, 2, '00:00:00:00:00:02', 2)",0.0
1686562185.4561424,"(2, 1, '00:00:00:00:00:01', 2)",0.0
1686562185.462718,"(2, 1, '00:00:00:00:00:01', 2)",0.0
